Unnamed: 0,Landfill Name,Physical Address,City,State_x,County,Zip Code,Latitude,Longitude,State_y,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend,Clean State
0.0,Anchorage Regional Landfill,15500 E. Eagle River Loop Road,Eagle River,AK,Anchorage,99577,61.29328100000001,-149.602138,0,0,0.0,0,0
4.0,Merrill Field Landfill,800 Merrill Field Drive,Anchorage,AK,Anchorage,99501,61.21266,-149.84011999999996,0,0,0.0,0,0
1.0,Capitol Disposal Landfill,5600 Tonsgard Court,Juneau,AK,Juneau,99801,58.3528,-134.4947,0,0,0.0,0,0
2.0,Central Peninsula Landfill (CPL),46915 Sterling Highway,Soldotna,AK,Kenai Peninsula,99669,60.44714000000001,-151.10369,0,0,0.0,0,0
5.0,Palmer Central Landfill,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,AK,Matanuska-Susitna,99645,61.59,-149.21,0,0,0.0,0,0
6.0,South Cushman Landfill,455 Sanduri Street,Fairbanks,AK,Fairbanks North Star,99701,64.80476,-147.70085, Alaska,386.2,317.0,falling,AK
7.0,Unalaska Landfill,1181 Summer Bay Road,Unalaska,AK,Aleutians West,99685,53.88463,-166.50656999999995,0,0,0.0,0,0
8.0,Advanced Disposal Cedar Hill Landfill,1319 N. Business Creek Road,Ragland,AL,St. Clair,35131,33.68345,-86.25272,0,0,0.0,0,0
9.0,Advanced Disposal Star Ridge Landfill,3301 Acmar Road,Moody,AL,St. Clair,35004,33.605270000000004,-86.51658,0,0,0.0,0,0
10.0,Arrowhead Landfill,"On Cahaba Road
Entrance at 626 Tayloe Road",Uniontown,AL,Perry,36786,32.413000000000004,-87.4685,0,0,0.0,0,0
11.0,Athens/Limestone County SLF MSWLF,"Strain Road
off Highway 31",Athens,AL,Limestone,35611,34.7634,-86.9399,0,0,0.0,0,0
12.0,Bishop Landfill Company,379 Pleasant Grove Cutoff Road,Albertville,AL,Marshall,35950,34.27823,-86.33707,0,0,0.0,0,0
13.0,Black Warrior Solid Waste Facility,3301 Landfill Drive,Coker,AL,Tuscaloosa,35452,33.243140000000004,-87.66585,0,0,0.0,0,0
14.0,Blount County/Nectar/Hayden LF & TS,2390 Armstrong Loop,Hayden,AL,Blount,35079,33.8888,-86.712,0,0,0.0,0,0
15.0,Brundidge Landfill,515 Cleanwater Drive,Brundidge,AL,Pike,36010,31.7041,-85.8299,0,0,0.0,0,0
16.0,Calhoun County SLF,3625 Morrisville Road,Anniston,AL,Calhoun,36201,33.675,-85.92,0,0,0.0,0,0
17.0,Chastang SLF,17045 Highway 43,Mt. Vernon,AL,Mobile,36560,31.06179,-88.02503,0,0,0.0,0,0
28.0,Irvington SLF,7195 Half Mile Road,Irvington,AL,Mobile,36544,30.490688,-88.210629,0,0,0.0,0,0
19.0,City of Decatur-Morgan County Regional MSW Landfill,500 Landfill Drive,Trinity,AL,Morgan,35673,34.6175,-87.10163,0,0,0.0,0,0
20.0,City of Dothan SLF MSWLF,1290 Burkett Road,Dothan,AL,Houston,36303,31.238766,-85.356721,0,0,0.0,0,0
21.0,Coffee County Sanitary Landfill,7733 Highway 125,Elba,AL,Coffee,36323,31.507053000000006,-86.000975,0,0,0.0,0,0
23.0,Cullman Environmental Waste Management Center,2805 AL Highway 69 South,Cullman,AL,Cullman,35057,34.02878,-86.90069,0,0,0.0,0,0
24.0,Eastern Area Landfill,2787 Alton Drive,Birmingham,AL,Jefferson,35210,33.5978,-86.6288,0,0,0.0,0,0
29.0,Jefferson County LF No. 1,101 Barber Boulevard,Gardendale,AL,Jefferson,35071,33.711,-86.87299999999998,0,0,0.0,0,0
30.0,Jefferson County LF No. 2,7035 Narrows Road,Pinson,AL,Jefferson,35126,33.7077,-86.7104,0,0,0.0,0,0
34.0,New Georgia MSWLF,2800 47th Avenue North,Birmingham,AL,Jefferson,35207,33.585,-86.815,0,0,0.0,0,0
41.0,Shannon SLF,2785 Shannon Oxmoor Road,Birmingham,AL,Jefferson,35211,33.42488,-86.85479000000002,0,0,0.0,0,0
25.0,Florence SLF MSWLF,"29485 Waterloo Road & Savannah Highway
State Highway 20",Florence,AL,Lauderdale,35630,34.806005,-87.714765,0,0,0.0,0,0
26.0,Florence SLF MSWLF (Old),Irvine Avenue,Florence,AL,Lauderdale,35630,34.803000000000004,-87.7058,0,0,0.0,0,0
